Longitude	Latitude	Year	Month	Day	Mag	Hour	Minite	Second 
102.800000 24.100000 1970 1 5 3.500000 6 10 0.000000 
102.800000 24.100000 1970 1 5 3.200000 6 12 0.000000 
102.800000 24.100000 1970 1 5 3.200000 6 15 0.000000 
102.800000 24.100000 1970 1 5 3.200000 6 16 0.000000 
102.800000 24.100000 1970 1 5 3.200000 6 17 0.000000 
102.800000 24.100000 1970 1 5 3.200000 6 21 0.000000 
102.800000 24.100000 1970 1 5 3.200000 6 28 0.000000 
102.800000 24.100000 1970 1 5 3.200000 6 31 0.000000 
102.800000 24.100000 1970 1 5 3.200000 6 46 0.000000 
102.800000 24.100000 1970 1 5 3.300000 6 50 0.000000 
102.800000 24.100000 1970 1 5 3.900000 6 53 0.000000 
102.800000 24.000000 1970 1 5 4.700000 6 56 29.000000 
102.800000 24.000000 1970 1 5 3.200000 7 2 0.000000 
102.800000 24.000000 1970 1 5 3.200000 7 3 0.000000 
102.800000 24.000000 1970 1 5 3.200000 7 5 0.000000 
102.800000 24.000000 1970 1 5 3.200000 7 6 0.000000 
102.800000 24.000000 1970 1 5 3.800000 7 16 0.000000 
102.800000 24.000000 1970 1 5 3.300000 7 18 0.000000 
102.800000 24.000000 1970 1 5 3.700000 7 24 0.000000 
102.800000 24.000000 1970 1 5 3.300000 7 25 0.000000 
102.800000 24.000000 1970 1 5 3.500000 7 27 0.000000 
102.800000 24.000000 1970 1 5 3.200000 7 28 0.000000 
102.800000 24.000000 1970 1 5 3.200000 7 29 0.000000 
102.800000 24.000000 1970 1 5 3.200000 7 38 0.000000 
102.800000 24.000000 1970 1 5 4.300000 7 42 0.000000 
102.800000 24.000000 1970 1 5 3.400000 7 44 0.000000 
102.800000 24.000000 1970 1 5 3.400000 7 46 0.000000 
102.800000 24.000000 1970 1 5 3.500000 7 47 0.000000 
102.800000 24.000000 1970 1 5 3.200000 7 48 0.000000 
102.800000 24.000000 1970 1 5 3.600000 7 56 0.000000 
102.800000 24.000000 1970 1 5 4.600000 7 57 0.000000 
102.800000 24.000000 1970 1 5 3.500000 8 1 0.000000 
102.800000 24.000000 1970 1 5 4.000000 8 7 0.000000 
102.800000 24.000000 1970 1 5 4.400000 8 8 0.000000 
102.800000 24.000000 1970 1 5 4.500000 8 15 0.000000 
102.800000 24.000000 1970 1 5 3.300000 8 20 0.000000 
102.800000 24.000000 1970 1 5 3.600000 8 26 0.000000 
102.800000 24.000000 1970 1 5 4.000000 8 48 0.000000 
102.800000 24.000000 1970 1 5 3.200000 8 53 0.000000 
102.800000 24.000000 1970 1 5 3.200000 9 0 0.000000 
102.800000 24.000000 1970 1 5 3.200000 9 17 0.000000 
102.800000 24.000000 1970 1 5 3.200000 9 21 0.000000 
102.800000 24.000000 1970 1 5 3.800000 9 22 0.000000 
102.800000 24.000000 1970 1 5 3.200000 9 29 0.000000 
102.800000 24.000000 1970 1 5 3.800000 9 34 0.000000 
102.800000 24.000000 1970 1 5 3.400000 9 40 0.000000 
102.800000 24.000000 1970 1 5 3.300000 9 54 0.000000 
102.800000 24.000000 1970 1 5 3.200000 9 56 0.000000 
102.800000 24.000000 1970 1 5 3.200000 9 57 0.000000 
102.800000 24.000000 1970 1 5 3.400000 10 5 0.000000 
102.800000 24.000000 1970 1 5 3.200000 10 13 0.000000 
102.800000 24.000000 1970 1 5 3.200000 10 27 0.000000 
102.800000 24.000000 1970 1 5 3.500000 10 49 0.000000 
102.800000 24.000000 1970 1 5 3.200000 10 54 0.000000 
102.800000 24.000000 1970 1 5 3.300000 11 2 0.000000 
102.800000 24.000000 1970 1 5 3.200000 11 5 0.000000 
102.800000 24.000000 1970 1 5 4.000000 11 8 0.000000 
102.800000 24.000000 1970 1 5 3.200000 11 11 0.000000 
102.800000 24.000000 1970 1 5 3.200000 11 15 0.000000 
102.800000 24.000000 1970 1 5 3.300000 11 24 0.000000 
102.800000 24.000000 1970 1 5 3.200000 11 25 0.000000 
102.800000 24.000000 1970 1 5 3.200000 11 30 0.000000 
102.800000 24.000000 1970 1 5 3.900000 11 30 0.000000 
102.800000 24.000000 1970 1 5 3.500000 11 56 0.000000 
102.800000 24.000000 1970 1 5 3.800000 12 11 0.000000 
102.800000 24.000000 1970 1 5 3.400000 12 16 0.000000 
102.500000 24.300000 1970 1 5 5.200000 12 19 59.000000 
102.500000 24.300000 1970 1 5 3.500000 12 28 0.000000 
102.500000 24.300000 1970 1 5 3.200000 12 30 0.000000 
102.500000 24.300000 1970 1 5 4.000000 12 51 0.000000 
102.500000 24.300000 1970 1 5 4.600000 12 53 0.000000 
102.500000 24.300000 1970 1 5 4.000000 13 5 0.000000 
102.500000 24.300000 1970 1 5 3.200000 13 18 0.000000 
102.500000 24.300000 1970 1 5 3.200000 13 21 0.000000 
102.500000 24.300000 1970 1 5 3.500000 13 46 0.000000 
102.500000 24.300000 1970 1 5 3.200000 13 58 0.000000 
102.500000 24.300000 1970 1 5 4.000000 14 0 0.000000 
102.500000 24.300000 1970 1 5 3.700000 14 2 0.000000 
102.500000 24.300000 1970 1 5 3.600000 14 5 0.000000 
102.500000 24.300000 1970 1 5 3.200000 14 10 0.000000 
102.500000 24.300000 1970 1 5 4.200000 14 30 0.000000 
102.500000 24.300000 1970 1 5 3.500000 14 32 0.000000 
102.500000 24.300000 1970 1 5 3.700000 14 35 0.000000 
102.500000 24.300000 1970 1 5 3.200000 14 48 0.000000 
102.500000 24.300000 1970 1 5 3.200000 14 54 0.000000 
102.500000 24.300000 1970 1 5 3.400000 14 56 0.000000 
102.500000 24.300000 1970 1 5 3.800000 15 47 0.000000 
102.500000 24.300000 1970 1 5 3.200000 15 57 0.000000 
102.500000 24.300000 1970 1 5 3.300000 16 4 0.000000 
102.500000 24.300000 1970 1 5 3.500000 16 9 0.000000 
102.500000 24.300000 1970 1 5 3.900000 16 25 0.000000 
102.500000 24.300000 1970 1 5 3.200000 16 37 0.000000 
102.500000 24.300000 1970 1 5 3.000000 16 58 0.000000 
102.500000 24.300000 1970 1 5 3.500000 16 59 0.000000 
102.500000 24.300000 1970 1 5 3.200000 17 4 0.000000 
102.500000 24.300000 1970 1 5 3.300000 17 14 0.000000 
102.500000 24.300000 1970 1 5 3.100000 17 46 0.000000 
102.500000 24.300000 1970 1 5 3.500000 18 2 0.000000 
102.500000 24.300000 1970 1 5 4.000000 18 8 0.000000 
102.500000 24.300000 1970 1 5 3.700000 18 12 0.000000 
102.500000 24.300000 1970 1 5 3.200000 18 17 0.000000 
102.500000 24.300000 1970 1 5 3.900000 18 31 0.000000 
102.500000 24.300000 1970 1 5 3.200000 18 34 0.000000 
102.500000 24.300000 1970 1 5 3.500000 18 48 0.000000 
102.500000 24.300000 1970 1 5 3.600000 19 18 0.000000 
102.500000 24.300000 1970 1 5 4.600000 19 27 0.000000 
102.800000 24.000000 1970 1 5 4.700000 21 54 9.000000 
102.800000 24.000000 1970 1 5 3.200000 21 57 0.000000 
102.800000 24.000000 1970 1 5 3.200000 22 0 0.000000 
102.800000 24.000000 1970 1 5 3.400000 22 6 0.000000 
102.800000 24.000000 1970 1 5 3.200000 22 18 0.000000 
101.100000 29.100000 1970 1 5 3.000000 22 48 19.000000 
102.500000 24.200000 1970 1 6 4.500000 0 30 11.000000 
102.500000 24.300000 1970 1 6 4.500000 1 10 54.000000 
